"id","composition","proportion","name","location","mass","year"
"1214","Pseudo/Ephedrine "," 1","Star","Los Angeles, CA","258",2003
"1213","Methamphetamine "," 1","Y","Orlando, FL","227",2003
"1212","Methamphetamine "," 1","Yin Yang","Orlando, FL","219",2003
"1211","MDMA "," 1","Mercedes","Miami, FL","145",2003
"1210","MDMA "," 1","Playboy Bunny","New York, NY","174",2003
"1210","Methamphetamine "," 1","Playboy Bunny","New York, NY","174",2003
"1209","Diazepam "," 1","Split","Newark, DE","166",2003
"1208","MDMA "," 10","Cartier","Los Angeles, CA","178",2003
"1208","Pseudo/Ephedrine "," 1","Cartier","Los Angeles, CA","178",2003
"1207","MDMA "," 1","Rolls Royce","Dallas, TX","177",2003
"1206","None Detected "," 1","Unknown","Oklahoma City, OK","312",2003
"1205","None Detected "," 1","Mickey Mouse","San Francisco, CA","286",2003
"1204","MDMA "," 1","Woman","San Francisco, CA","263",2003
"1203","Caffeine "," 20","Shark","San Jose, CA","271",2003
"1203","MDMA "," 10","Shark","San Jose, CA","271",2003
"1203","Methamphetamine "," 1","Shark","San Jose, CA","271",2003
"1202","MDMA "," 1","Rolex","San Jose, CA","195",2003
"1201","MDMA "," 1","Smirnoff","East Haven, CT","144",2003
"1200","MDMA "," 1","Sea Spray","Napa, CA","171",2003
"1199","MDMA "," 1","Versace","San Francisco, CA","290",2003
"1198","None Detected "," 1","Plain Tablet","Houston, TX","327",2003
"1197","MDA "," 4","Swan","San Jose, CA","327",2003
"1197","Caffeine "," 1","Swan","San Jose, CA","327",2003
"1194","Methamphetamine "," 1","Rolex","Boston, MA","196",2003
"1193","MDA "," 1","Club","Philadelphia, PA","150",2003
"1192","MDMA "," 1","Octagon","San Francisco, CA","220",2003
"1184","None Detected "," 1","Split","Hope Mills, NC","76",2003
"1185","Unidentified "," 1","Question Mark","Los Angeles, CA","389",2003
"1186","MDMA "," 1","Diamond (capsule)","San Francisco, CA","120",2003
"1187","Unidentified "," 1","Question Mark","Phoenix, AZ","437",2003
"1188","None Detected "," 1","Split","Dallas, TX","162",2003
"1189","MDMA "," 1","Fish","West Palm Beach, FL","208",2003
"1190","Methamphetamine "," 1","Mercedes","Hookset, NH","205",2003
"1190","Pseudo/Ephedrine "," 1","Mercedes","Hookset, NH","205",2003
"1191","Methamphetamine "," 10","Notes","New York, NY","212",2003
"1191","MDMA "," 4","Notes","New York, NY","212",2003
"1191","Caffeine "," 2","Notes","New York, NY","212",2003
"1191","MDE "," 1","Notes","New York, NY","212",2003
"1183","Ketamine "," 10","Mercedes","Minneapolis, MN","417",2003
"1183","MDMA "," 1","Mercedes","Minneapolis, MN","417",2003
"1183","Pseudo/Ephedrine "," 1","Mercedes","Minneapolis, MN","417",2003
"1182","Acetaminophen "," 20","Whale","Glendale, CA","296",2003
"1182","MDMA "," 1","Whale","Glendale, CA","296",2003
"1181","MDMA "," 1","Superman","New York, NY","158",2003
"1180","MDMA "," 10","Plain Tablet","Burbank, CA","100",2003
"1180","MDE "," 1","Plain Tablet","Burbank, CA","100",2003
"1178","Methamphetamine "," 1","Camel","New York, NY","193",2003
"1177","Caffeine "," 1","Dolphin","Houston, TX","265",2003
"1176","MDMA "," 1","XL","Los Angeles, CA","275",2003
"1175","MDMA "," 1","fish","West Palm Beach, FL","214",2003
"1174","Unidentified "," 1","Cartier","Hollywood, CA","275",2003
"1173","Caffeine "," 10","Broken Arrow","St. Paul, MN","226",2003
"1173","MDMA "," 1","Broken Arrow","St. Paul, MN","226",2003
"1172","Methamphetamine "," 1","Peace","Lynn, MA","312",2003
"1171","Methamphetamine "," 10","Evolution","San Jose, CA","364",2003
"1171","Caffeine "," 6","Evolution","San Jose, CA","364",2003
"1171","MDMA "," 3","Evolution","San Jose, CA","364",2003
"1170","MDMA "," 1","Split","San Rafael, CA","116",2003
"1169","MDMA "," 1","NL","Tampa, FL","160",2003
"1168","MDMA "," 1","Versace","Las Vegas, NV","295",2003
"1167","MDMA "," 1","Plain Tablet","Las Vegas, NV","242",2003
"1166","Unidentified "," 1","Cartier","Hollywood, CA","275",2003
"1165","MDA "," 1","Yin Yang","Detroit, MI","347",2003
"1164","BZP "," 2","Plain Tablet","Vienna, VA","213",2003
"1164","TFMPP "," 2","Plain Tablet","Vienna, VA","213",2003
"1164","Cocaine "," 1","Plain Tablet","Vienna, VA","213",2003
"1164","DXM "," 1","Plain Tablet","Vienna, VA","213",2003
"1163","MDMA "," 1","Unknown","Sunrise, FL","133",2003
"1162","DXM "," 1","Plain Tablet","Framinghamm, MA","91",2003
"1161","MDMA "," 1","Star of David","Atlanta, GA","238",2003
"1160","MDMA "," 1","Bacardi Bat","Miami, FL","241",2003
"1159","
  ","","3","New York, NY","427",2003
"1158","MDMA "," 1","Bacardi Bat","Phoenix, AZ","252",2003
"1157","MDMA "," 1","Smiley","West Palm Beach, FL","205",2003
"1156","MDA "," 1","Sunflower","West Palm Beach, FL","315",2003
"1155","MDMA "," 1","Star","Hollis, NY","157",2003
"1154","MDMA "," 1","Duck","San Francisco, CA","255",2003
"1153","Carbamezepine "," 1","Unknown","Winston-Salem, NC","269",2003
"1152","MDMA "," 1","Superman","New York, NY","92",2003
"1151","Pseudo/Ephedrine "," 1","Rainbow","Miami, FL","229",2003
"1150","MDMA "," 1","Euro","Seattle, WA","271",2003
"1150","Methamphetamine "," 1","Euro","Seattle, WA","271",2003
"1149","MDMA "," 4","Dove","Seattle, WA","314",2003
"1149","Methamphetamine "," 1","Dove","Seattle, WA","314",2003
"1148","Carisoprodol "," 1","Split","Tulsa, OK","504",2003
"1148","Unidentified "," 1","Split","Tulsa, OK","504",2003
"1147","MDMA "," 1","Duck","San Francisco, CA","256",2003
"1146","MDMA "," 4","Smiley","Yreka, CA","200",2003
"1146","Pseudo/Ephedrine "," 1","Smiley","Yreka, CA","200",2003
"1145","MDMA "," 1","crab","Philadelphia, PA","133",2003
"1144","PCP "," 1.2","sunshine","Powder Springs, GA","280",2003
"1144","Pseudo/Ephedrine "," 1","sunshine","Powder Springs, GA","280",2003
"1143","Caffeine "," 15","Clover","Denver, CO","336",2003
"1143","MDMA "," 5","Clover","Denver, CO","336",2003
"1143","Methamphetamine "," 2","Clover","Denver, CO","336",2003
"1143","Pseudo/Ephedrine "," 1","Clover","Denver, CO","336",2003
